IdSensore,NomeTipoSensore,Idstazione,NomeStazione,Provincia,Comune,lat,lng
17162,Particelle sospese PM2.5,681,Moggio Loc. Penscei,LC,Moggio,45.91279097,9.49754261
10505,Ossidi di Azoto,1269,Dalmine v.Verdi,BG,Dalmine,45.64971,9.60123469
5542,Biossido di Azoto,539,Milano v.Liguria,MI,Milano,45.44386047,9.16794489
5548,Biossido di Azoto,545,Motta Visconti v. De Gasperi,MI,Motta Visconti,45.28196356,8.98857592
20829,Ossidi di Azoto,9157,Erba - Buccinigo,CO,Erba,45.80439096,9.20901588
6326,Ossidi di Azoto,546,Magenta v. F. Turati,MI,Magenta,45.46242074,8.88021388
9798,Monossido di Carbonio,670,Mantova S.Agnese,MN,Mantova,45.16057658,10.79557331
9875,Ossidi di Azoto,674,Monza v.Machiavelli,MB,Monza,45.574117,9.263808
6945,PM10 (SM2005),633,Soresina v. Landriani,CR,Soresina,45.28398,9.86340258
6826,Biossido di Azoto,657,Lonato del Garda v.del Marchesino,BS,Lonato del Garda,45.46375819,10.48078183
10085,Particelle sospese PM2.5,695,Ponti sul Mincio v.San Martino,MN,Ponti sul Mincio,45.41277633,10.68336214
5609,Biossido di Azoto,606,San Giuliano Milanese via Milano,MI,San Giuliano Milanese,45.39619767,9.28269897
5504,Biossido di Azoto,501,Milano v.Marche,MI,Milano,45.49631883,9.19093444
6690,Ossidi di Azoto,642,Pavia v. Folperti,PV,Pavia,45.19468231,9.16464919
6300,Ossidi di Azoto,544,Cormano v. Edison,MI,Cormano,45.547597,9.166983
12022,Particelle sospese PM2.5,1297,Spinadesco v.Battisti,CR,Spinadesco,45.15047339,9.93059842
10327,Biossido di Zolfo,708,Parona v. della Miseria,PV,Parona,45.28194289,8.75433614
12629,Benzo(a)pirene,705,Milano Pascal Città Studi,MI,Milano,45.478347,9.231667
9804,Ossidi di Azoto,670,Mantova S.Agnese,MN,Mantova,45.16057658,10.79557331
5575,Biossido di Azoto,572,Morbegno v.Cortivacci,SO,Morbegno,46.135486,9.56624
5568,Biossido di Azoto,565,Cantù v.Meucci,CO,Cantù,45.73083728,9.12573936
20104,Particelle sospese PM2.5,592,Treviglio p.zza Insurrezione,BG,Treviglio,45.51933533,9.59201917
20154,Ozono,690,Mezzana Bigli loc. Casoni,PV,Mezzana Bigli,45.06966728,8.86890217
9854,Monossido di Carbonio,672,Cornale v.Libertà,PV,Cornale,45.04008561,8.91415717
6005,Benzene,627,Cremona P.zza Cadorna,CR,Cremona,45.13195042,10.01574064
20591,BlackCarbon,574,Lecco v. Amendola,LC,Lecco,45.85019631,9.39558125
9831,PM10 (SM2005),670,Mantova S.Agnese,MN,Mantova,45.16057658,10.79557331
20924,BlackCarbon,560,Varese v.Copelli,VA,Varese,45.8169745,8.82024911
6230,Ossidi di Azoto,565,Cantù v.Meucci,CO,Cantù,45.73083728,9.12573936
30162,Ossidi di Azoto,669,Brescia Villaggio Sereno,BS,Brescia,45.51306214,10.19190606
20566,PM10 (SM2005),626,Corte de' Cortesi con Cignone v. Villa Strada Forca,CR,Corte de' Cortesi con Cignone,45.27848997,10.00620528
5532,Biossido di Azoto,529,Cinisello Balsamo v.Lincoln,MI,Cinisello Balsamo,45.55232831,9.22776572
12685,Arsenico,633,Soresina v. Landriani,CR,Soresina,45.28398,9.86340258
12639,Cadmio,548,Milano v.Senato,MI,Milano,45.470501,9.19746075
20496,PM10 (SM2005),1801,Brescia v.Tartaglia,BS,Brescia,45.54264789,10.21120522
17290,PM10 (SM2005),1374,Monza Parco,MB,Monza,45.603072,9.276156
17038,Arsenico,583,Bergamo v.Meucci,BG,Bergamo,45.69104328,9.64366092
10399,Particelle sospese PM2.5,583,Bergamo v.Meucci,BG,Bergamo,45.69104328,9.64366092
5603,Biossido di Azoto,600,Lodi v.Vignati,LO,Lodi,45.30601628,9.48527511
6953,PM10 (SM2005),659,Odolo v.Praes,BS,Odolo,45.64605175,10.38929672
20569,Monossido di Carbonio,1801,Brescia v.Tartaglia,BS,Brescia,45.54264789,10.21120522
12596,Arsenico,609,Casirate d'Adda v. Cimitero,BG,Casirate d'Adda,45.49822794,9.55624181
6766,Ossidi di Azoto,649,Brescia v.Broletto,BS,Brescia,45.54006456,10.22281989
20571,PM10 (SM2005),665,Viadana v. Cavalli,MN,Viadana,44.92469933,10.51750417
12675,Cadmio,1264,Sondrio v.Paribelli,SO,Sondrio,46.16785664,9.87921169
6947,PM10 (SM2005),643,Pavia p.zza Minerva,PV,Pavia,45.18633544,9.14667703
20443,Biossido di Azoto,681,Moggio Loc. Penscei,LC,Moggio,45.91279097,9.49754261
9927,PM10 (SM2005),677,Cremona Via Fatebenefratelli,CR,Cremona,45.14254358,10.04384767
17295,Ozono,558,Busto Arsizio  Accam,VA,Busto Arsizio,45.58289429,8.84216546
12588,Nikel,669,Brescia Villaggio Sereno,BS,Brescia,45.51306214,10.19190606
12017,Biossido di Azoto,1297,Spinadesco v.Battisti,CR,Spinadesco,45.15047339,9.93059842
12620,Arsenico,542,Meda v. Gagarin,MB,Meda,45.660992,9.160225
5517,Biossido di Azoto,514,Rho via Buon Gesù,MI,Rho,45.52342919,9.0446025
5845,Monossido di Carbonio,569,Sondrio v.Mazzini,SO,Sondrio,46.16797103,9.87014581
10036,Benzene,673,Voghera v.Pozzoni,PV,Voghera,44.99955481,9.00844961
5554,Biossido di Azoto,551,Arconate v. De Gasperi,MI,Arconate,45.54852147,8.84732669
10167,Biossido di Azoto,703,Schivenoglia v. Malpasso,MN,Schivenoglia,45.01688067,11.07609728
17122,Particelle sospese PM2.5,548,Milano v.Senato,MI,Milano,45.470501,9.19746075
